name,city,location_long,location_lat
Panjagutta,Hyderabad,17.4267473,78.453154
Cyberabad,Hyderabad,17.4350522,78.386735
Kukatpally,Hyderabad,17.4844807,78.388758
Banjara Hills,Hyderabad,17.4231815,78.427688
Rajajinagar,Bangalore,13.0110077,77.555058
Bannerghatta Road,Bangalore,12.9076191,77.6012501
Marathahalli,Bangalore,12.9799061,77.6931902
